objectUri,owl:Thing,schema:Organization,schema:SportsTeam,dul:Agent,dul:SocialPerson,dbo:Agent,dbo:Organisation,dbo:SoccerClub,dbo:SportsTeam,geo:SpatialThing,dbpedia-en:Q215627,schema:Person,foaf:Person,dbpedia-en:Q5,dul:NaturalPerson,dbo:Athlete,dbo:Person,dbo:SoccerPlayer,schema:AdministrativeArea,schema:Place,d0:Location,dbo:AdministrativeRegion,dbo:Place,dbo:PopulatedPlace,dbo:Region,dbo:Wikidata:Q532,ogcgml:_Feature,schema:Event,schema:SportsEvent,dul:Event,dbo:Event,dbo:FootballMatch,dbo:SocietalEvent,dbo:SportsEvent,schema:BodyOfWater,dbo:BodyOfWater,dbo:NaturalPlace,schema:MusicGroup,dbo:Artist,dbo:MusicalArtist,dbo:WorldHeritageSite,schema:Country,dbo:Country,schema:CollegeOrUniversity,schema:EducationalOrganization,dbo:EducationalInstitution,dbo:University,dbo:Wrestler,dbo:Politician,dbo:President
44,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
45,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
46,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
47,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
48,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
49,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
50,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
51,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
52,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
53,true,true,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
