id, property
184 , http://dbpedia.org/ontology/Bridge/locatedInArea
185 , http://dbpedia.org/ontology/Bridge/mainspan
186 , http://dbpedia.org/ontology/Bridge/unitedStatesNationalBridgeId
187 , http://dbpedia.org/ontology/BritishRoyalty/royalAnthem
188 , http://dbpedia.org/ontology/Broadcast/airDate
189 , http://dbpedia.org/ontology/Broadcast/broadcastArea
190 , http://dbpedia.org/ontology/Broadcast/closingDate
191 , http://dbpedia.org/ontology/Broadcast/coordinates
192 , http://dbpedia.org/ontology/Broadcast/country
193 , http://dbpedia.org/ontology/Broadcast/language
194 , http://dbpedia.org/ontology/Broadcast/network
195 , http://dbpedia.org/ontology/Broadcast/sisterStation
196 , http://dbpedia.org/ontology/Building/address
197 , http://dbpedia.org/ontology/Building/architect
198 , http://dbpedia.org/ontology/Building/architectualBureau
199 , http://dbpedia.org/ontology/Building/architecturalStyle
200 , http://dbpedia.org/ontology/Building/awards
201 , http://dbpedia.org/ontology/Building/buildingEndDate
202 , http://dbpedia.org/ontology/Building/buildingStartDate
203 , http://dbpedia.org/ontology/Building/closingDate
204 , http://dbpedia.org/ontology/Building/cost
205 , http://dbpedia.org/ontology/Building/demolitionDate
206 , http://dbpedia.org/ontology/Building/destructionDate
207 , http://dbpedia.org/ontology/Building/floorArea
208 , http://dbpedia.org/ontology/Building/floorCount
209 , http://dbpedia.org/ontology/Building/formerName
210 , http://dbpedia.org/ontology/Building/openingDate
211 , http://dbpedia.org/ontology/Building/owner
212 , http://dbpedia.org/ontology/Building/owningOrganisation
213 , http://dbpedia.org/ontology/Building/rebuildingDate
214 , http://dbpedia.org/ontology/Building/structuralSystem
215 , http://dbpedia.org/ontology/Building/tenant
216 , http://dbpedia.org/ontology/Building/visitorsPerYear
217 , http://dbpedia.org/ontology/Building/visitorsTotal
218 , http://dbpedia.org/ontology/Canal/branch
219 , http://dbpedia.org/ontology/Canal/branchOf
220 , http://dbpedia.org/ontology/Canal/company
221 , http://dbpedia.org/ontology/Canal/dateAct
222 , http://dbpedia.org/ontology/Canal/dateClosed
223 , http://dbpedia.org/ontology/Canal/dateCompleted
224 , http://dbpedia.org/ontology/Canal/dateConstruction
225 , http://dbpedia.org/ontology/Canal/dateExtended
226 , http://dbpedia.org/ontology/Canal/dateRestored
227 , http://dbpedia.org/ontology/Canal/dateUse
228 , http://dbpedia.org/ontology/Canal/endPoint
229 , http://dbpedia.org/ontology/Canal/engineer
230 , http://dbpedia.org/ontology/Canal/hasJunctionWith
231 , http://dbpedia.org/ontology/Canal/maximumBoatBeam
232 , http://dbpedia.org/ontology/Canal/maximumBoatLength
233 , http://dbpedia.org/ontology/Canal/originalEndPoint
234 , http://dbpedia.org/ontology/Canal/originalMaximumBoatBeam
235 , http://dbpedia.org/ontology/Canal/originalMaximumBoatLength
236 , http://dbpedia.org/ontology/Canal/originalStartPoint
237 , http://dbpedia.org/ontology/Canal/principalEngineer
238 , http://dbpedia.org/ontology/Canal/startPoint
239 , http://dbpedia.org/ontology/Cave/numberOfEntrances
240 , http://dbpedia.org/ontology/ChemicalCompound/boilingPoint
241 , http://dbpedia.org/ontology/ChemicalCompound/density
242 , http://dbpedia.org/ontology/ChemicalCompound/meltingPoint
243 , http://dbpedia.org/ontology/ChemicalSubstance/boilingPoint
244 , http://dbpedia.org/ontology/ChemicalSubstance/density
245 , http://dbpedia.org/ontology/ChemicalSubstance/meltingPoint
246 , http://dbpedia.org/ontology/City/administrativeCollectivity
247 , http://dbpedia.org/ontology/City/administrativeDistrict
248 , http://dbpedia.org/ontology/City/annualTemperature
249 , http://dbpedia.org/ontology/City/associationOfLocalGovernment
250 , http://dbpedia.org/ontology/City/coastLine
251 , http://dbpedia.org/ontology/City/cornishName
252 , http://dbpedia.org/ontology/City/country
253 , http://dbpedia.org/ontology/City/crownDependency
254 , http://dbpedia.org/ontology/City/day
255 , http://dbpedia.org/ontology/City/department
256 , http://dbpedia.org/ontology/City/destructionDate
257 , http://dbpedia.org/ontology/City/distanceToBelfast
258 , http://dbpedia.org/ontology/City/distanceToCardiff
259 , http://dbpedia.org/ontology/City/distanceToDouglas
260 , http://dbpedia.org/ontology/City/distanceToEdinburgh
261 , http://dbpedia.org/ontology/City/distanceToLondon
262 , http://dbpedia.org/ontology/City/federalState
263 , http://dbpedia.org/ontology/City/frazioni
264 , http://dbpedia.org/ontology/City/gaelicName
265 , http://dbpedia.org/ontology/City/irishName
266 , http://dbpedia.org/ontology/City/jointCommunity
267 , http://dbpedia.org/ontology/City/largestMetro
268 , http://dbpedia.org/ontology/City/manxName
269 , http://dbpedia.org/ontology/City/meaning
270 , http://dbpedia.org/ontology/City/province
271 , http://dbpedia.org/ontology/City/region
272 , http://dbpedia.org/ontology/City/region1
273 , http://dbpedia.org/ontology/City/saint
274 , http://dbpedia.org/ontology/City/scottishName
275 , http://dbpedia.org/ontology/City/summerTemperature
276 , http://dbpedia.org/ontology/City/twinCity
277 , http://dbpedia.org/ontology/City/twinCountry
278 , http://dbpedia.org/ontology/City/welshName
279 , http://dbpedia.org/ontology/City/winterTemperature
280 , http://dbpedia.org/ontology/College/formerName
281 , http://dbpedia.org/ontology/College/sisterCollege
282 , http://dbpedia.org/ontology/CollegeCoach/bowlRecord
283 , http://dbpedia.org/ontology/CollegeCoach/coachedTeam
284 , http://dbpedia.org/ontology/CollegeCoach/coachingRecord
285 , http://dbpedia.org/ontology/CollegeCoach/college
286 , http://dbpedia.org/ontology/CollegeCoach/currentRecord
287 , http://dbpedia.org/ontology/CollegeCoach/overallRecord
288 , http://dbpedia.org/ontology/CollegeCoach/titel
289 , http://dbpedia.org/ontology/CollegeCoach/tournamentRecord
290 , http://dbpedia.org/ontology/Comedian/americanComedyAward
291 , http://dbpedia.org/ontology/Comedian/britishComedyAwards
292 , http://dbpedia.org/ontology/Comedian/olivierAward
293 , http://dbpedia.org/ontology/Comedian/peabodyAward
294 , http://dbpedia.org/ontology/Company/areaServed
295 , http://dbpedia.org/ontology/Company/assets
296 , http://dbpedia.org/ontology/Company/currentStatus
297 , http://dbpedia.org/ontology/Company/division
298 , http://dbpedia.org/ontology/Company/equity
299 , http://dbpedia.org/ontology/Company/industry
300 , http://dbpedia.org/ontology/Company/language
301 , http://dbpedia.org/ontology/Company/marketcap
302 , http://dbpedia.org/ontology/Company/netIncome
303 , http://dbpedia.org/ontology/Company/operatingIncome
304 , http://dbpedia.org/ontology/Company/owner
305 , http://dbpedia.org/ontology/Company/parentCompany
306 , http://dbpedia.org/ontology/Company/product
307 , http://dbpedia.org/ontology/Company/service
308 , http://dbpedia.org/ontology/Company/subsidiary
309 , http://dbpedia.org/ontology/ConveyorSystem/diameter
310 , http://dbpedia.org/ontology/ConveyorSystem/height
311 , http://dbpedia.org/ontology/ConveyorSystem/length
312 , http://dbpedia.org/ontology/ConveyorSystem/mass
313 , http://dbpedia.org/ontology/ConveyorSystem/weight
314 , http://dbpedia.org/ontology/ConveyorSystem/width
315 , http://dbpedia.org/ontology/Country/anthem
316 , http://dbpedia.org/ontology/Country/currency
317 , http://dbpedia.org/ontology/Country/ethnicGroupsInYear
