Infobox_French_commune,elevation_m,Ficha_de_entidad_subnacional,elevación_alta,dbo:elevation,dbo:maximumElevation,Correctly different mappings,dbo:Settlement,dbo:AdministrativeRegion,dbo:Place,dbo:Place,xsd:double,xsd:double,0.0049,0.9951,0.993,0,5132,25,5107,5096,0,5132,5132
Infobox_French_commune,elevation_max_m,Ficha_de_entidad_subnacional,población,dbo:maximumElevation,dbo:populationTotal,Correctly different mappings,dbo:Settlement,dbo:AdministrativeRegion,dbo:Place,,xsd:double,xsd:nonNegativeInteger,0.0007,0.9993,0.9991,0.2115,34763,24,34739,34733,7353,34763,34763
Infobox_French_commune,elevation_max_m,Ficha_de_entidad_subnacional,elevación_media,dbo:maximumElevation,dbo:height,Wrong Mapping - Mapping Issue,dbo:Settlement,dbo:AdministrativeRegion,dbo:Place,,xsd:double,xsd:double,0.0048,0.9952,0,0.9611,4959,24,4935,0,4766,4959,4959
Infobox_U.S._county,area_total_sq_mi,Ficha_de_entidad_subnacional,superficie_tierra,dbo:areaTotal,dbo:areaLand,Correctly different mappings,dbo:AdministrativeRegion,dbo:AdministrativeRegion,dbo:Place,dbo:Place,xsd:double,xsd:double,0.108,0.892,0.9202,0.1315,213,23,190,196,28,213,213
Infobox_French_commune,elevation_min_m,Ficha_de_entidad_subnacional,elevación_media,dbo:minimumElevation,dbo:height,Wrong Mapping - Mapping Issue,dbo:Settlement,dbo:AdministrativeRegion,dbo:Place,,xsd:double,xsd:double,0.0044,0.9956,0,0.9623,4955,22,4933,0,4768,4955,4955
Infobox_French_commune,elevation_m,Ficha_de_entidad_subnacional,población,dbo:elevation,dbo:populationTotal,Correctly different mappings,dbo:Settlement,dbo:AdministrativeRegion,dbo:Place,,xsd:double,xsd:nonNegativeInteger,0.0008,0.9992,0.9991,0,26822,22,26800,26797,0,26822,26822
Infobox_station,tracks,Ficha_de_estación,pasajeros,dbo:numberOfTracks,dbo:passengersPerYear,Correctly different mappings,dbo:Station,dbo:Station,dbo:Infrastructure,dbo:Infrastructure,xsd:nonNegativeInteger,xsd:nonNegativeInteger,0.0856,0.9339,0.7276,0,257,22,240,187,0,257,257
Infobox_French_commune,elevation_m,Ficha_de_entidad_subnacional,elevación_baja,dbo:elevation,dbo:minimumElevation,Correctly different mappings,dbo:Settlement,dbo:AdministrativeRegion,dbo:Place,dbo:Place,xsd:double,xsd:double,0.0043,0.9957,0.9934,0,5128,22,5106,5094,0,5128,5128
Infobox_settlement,elevation_m,Ficha_de_entidad_subnacional,población,dbo:elevation,dbo:populationTotal,Correctly different mappings,,dbo:AdministrativeRegion,dbo:Place,,xsd:double,xsd:nonNegativeInteger,0.0006,0.9293,0.982,0,36512,21,33931,35853,0,36512,36512
Infobox_settlement,population_density_km2,Ficha_de_entidad_subnacional,población,dbo:populationDensity,dbo:populationTotal,Correctly different mappings,,dbo:AdministrativeRegion,dbo:PopulatedPlace,,xsd:double,xsd:nonNegativeInteger,0.0007,0.8823,0.9978,0,30256,21,26695,30188,0,30256,30256
