dbo:producer,dbo:writer,dbo:Film,,dbo:Work,dbo:Work,dbo:Agent,dbo:Person,
dbo:largestCity,dbo:capitalCountry,dbo:Country,dbo:Country,dbo:PopulatedPlace,dbo:Island,dbo:PopulatedPlace,dbo:Country,
dbo:isPartOf,dbo:country,,dbo:City,,,,dbo:Country,
dbo:nationality,dbo:birthPlace,dbo:Writer,dbo:Writer,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:producer,dbo:writer,dbo:Single,dbo:Single,dbo:Work,dbo:Work,dbo:Agent,dbo:Person,
dbo:writer,dbo:producer,dbo:Single,dbo:Single,dbo:Work,dbo:Work,dbo:Person,dbo:Agent,
dbo:isPartOf,dbo:district,,dbo:City,,dbo:Place,,dbo:PopulatedPlace,
dbo:sourceCountry,dbo:country,dbo:River,dbo:River,dbo:Stream,,dbo:Country,dbo:Country,
dbo:locationCity,dbo:location,,dbo:Company,dbo:Organisation,,dbo:City,dbo:Place,
dbo:unitaryAuthority,dbo:archipelago,dbo:Island,dbo:Island,dbo:PopulatedPlace,dbo:Island,dbo:PopulatedPlace,,
dbo:nationality,dbo:deathPlace,dbo:Writer,dbo:Writer,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:writer,dbo:director,dbo:Film,dbo:Film,dbo:Work,dbo:Film,dbo:Person,dbo:Person,
dbo:birthPlace,dbo:ethnicity,,dbo:Artist,dbo:Person,dbo:Person,dbo:Place,dbo:EthnicGroup,
dbo:birthPlace,dbo:deathPlace,dbo:Person,dbo:Artist,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:deathPlace,dbo:restingPlace,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:producer,dbo:artist,,dbo:Album,dbo:Work,dbo:MusicalWork,dbo:Agent,dbo:Agent,
dbo:predecessor,dbo:parent,dbo:Monarch,dbo:BritishRoyalty,,dbo:Person,,dbo:Person,
dbo:isPartOf,dbo:province,,dbo:City,,dbo:Place,,dbo:Province,
dbo:isPartOf,dbo:state,,dbo:City,,,,dbo:PopulatedPlace,
dbo:isPartOf,dbo:district,,dbo:City,,dbo:Place,,dbo:PopulatedPlace,
dbo:politicalPartyInLegislature,dbo:politicalPartyOfLeader,dbo:Legislature,dbo:Legislature,dbo:Legislature,dbo:Legislature,dbo:PoliticalParty,dbo:PoliticalParty,
dbo:territory,dbo:place,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:AdministrativeRegion,dbo:MilitaryConflict,dbo:PopulatedPlace,27
dbo:genre,dbo:type,dbo:VideoGame,dbo:VideoGame,,,dbo:Genre,,
dbo:isPartOf,dbo:province,,dbo:City,,dbo:Place,,dbo:Province,
dbo:predecessor,dbo:successor,dbo:OfficeHolder,dbo:Politician,,,,,
dbo:birthPlace,dbo:restingPlace,dbo:Royalty,dbo:BritishRoyalty,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:successor,dbo:predecessor,dbo:OfficeHolder,dbo:Politician,,,,,
dbo:location,dbo:archipelago,dbo:Island,dbo:Island,,dbo:Island,dbo:Place,,
