dbo:artist,dbo:instrument,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Artist,dbo:Agent,dbo:Instrument,
dbo:artist,dbo:associatedMusicalArtist,dbo:Album,dbo:Album,dbo:MusicalWork,,dbo:Agent,dbo:MusicalArtist,
dbo:homeStadium,dbo:location,dbo:SoccerClub,dbo:SoccerClub,,,dbo:Stadium,dbo:Place,
dbo:homeArena,dbo:location,dbo:SoccerClub,dbo:SoccerClub,,,dbo:Arena,dbo:Place,
dbo:country,dbo:birthPlace,dbo:TennisPlayer,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,
dbo:language,dbo:country,dbo:Film,dbo:Film,,,dbo:Language,dbo:Country,
dbo:country,dbo:sourceConfluence,dbo:BodyOfWater,dbo:River,,dbo:River,dbo:Country,,
dbo:headquarter,dbo:locationCity,dbo:Organisation,dbo:Company,dbo:Organisation,dbo:Organisation,dbo:PopulatedPlace,dbo:City,
dbo:headquarter,dbo:locationCountry,dbo:Organisation,dbo:Company,dbo:Organisation,,dbo:PopulatedPlace,dbo:Country,
dbo:mouthPosition,dbo:riverMouth,dbo:BodyOfWater,dbo:River,dbo:River,dbo:River,geo:SpatialThing,dbo:BodyOfWater,
dbo:genre,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,
dbo:mouthPosition,dbo:sourceConfluence,dbo:BodyOfWater,dbo:River,dbo:River,dbo:River,geo:SpatialThing,,
dbo:genre,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,
dbo:computingPlatform,dbo:genre,dbo:VideoGame,dbo:VideoGame,dbo:Software,,,dbo:Genre,
dbo:license,dbo:operatingSystem,dbo:Software,dbo:Software,dbo:Work,dbo:Software,,,
dbo:recordLabel,dbo:genre,dbo:MusicalArtist,dbo:Band,,,dbo:RecordLabel,dbo:Genre,
dbo:homeArena,dbo:ground,dbo:SoccerClub,dbo:SoccerClub,,dbo:SoccerClub,dbo:Arena,dbo:Place,
dbo:homeStadium,dbo:ground,dbo:SoccerClub,dbo:SoccerClub,,dbo:SoccerClub,dbo:Stadium,dbo:Place,
dbo:residence,dbo:birthPlace,dbo:TennisPlayer,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:birthPlace,dbo:managerClub,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:Athlete,dbo:Place,dbo:SportsTeam,
dbo:birthPlace,dbo:trainerClub,dbo:Athlete,dbo:SoccerPlayer,dbo:Person,dbo:SoccerPlayer,dbo:Place,dbo:SportsTeam,
dbo:starring,dbo:channel,dbo:TelevisionShow,dbo:TelevisionShow,dbo:Work,,dbo:Actor,dbo:Broadcaster,
dbo:artist,dbo:producer,dbo:Album,dbo:Album,dbo:MusicalWork,dbo:Work,dbo:Agent,dbo:Agent,
dbo:formerTeam,dbo:club,dbo:Athlete,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:birthPlace,dbo:country,dbo:TennisPlayer,dbo:TennisPlayer,dbo:Person,,dbo:Place,dbo:Country,
dbo:developer,dbo:computingPlatform,dbo:VideoGame,dbo:VideoGame,,dbo:Software,dbo:Agent,,
dbo:placeOfBurial,dbo:deathPlace,dbo:Noble,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:formerTeam,dbo:nationalTeam,dbo:Athlete,dbo:SoccerPlayer,dbo:Athlete,dbo:Athlete,dbo:SportsTeam,dbo:SportsTeam,
dbo:nationality,dbo:birthPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:parent,dbo:successor,dbo:Noble,,dbo:Person,,dbo:Person,,
dbo:sourceConfluence,dbo:locatedInArea,dbo:BodyOfWater,dbo:River,dbo:River,dbo:Place,,dbo:Place,
dbo:recordLabel,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:RecordLabel,dbo:Person,
dbo:hometown,dbo:birthPlace,dbo:MusicalArtist,dbo:Person,dbo:Agent,dbo:Person,dbo:Settlement,dbo:Place,
dbo:subsequentWork,dbo:starring,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Work,dbo:Actor,
dbo:placeOfBurial,dbo:birthPlace,dbo:Noble,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:parent,dbo:personFunction,dbo:Noble,,dbo:Person,dbo:Person,dbo:Person,dbo:PersonFunction,
dbo:computingPlatform,dbo:gameArtist,dbo:VideoGame,dbo:VideoGame,dbo:Software,dbo:VideoGame,,dbo:Person,
dbo:sourceConfluence,dbo:riverMouth,dbo:BodyOfWater,dbo:River,dbo:River,dbo:River,,dbo:BodyOfWater,
dbo:album,dbo:musicalArtist,dbo:Single,dbo:Single,,dbo:Single,dbo:Album,dbo:MusicalArtist,
dbo:place,dbo:isPartOfMilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:MilitaryConflict,dbo:PopulatedPlace,dbo:MilitaryConflict,
dbo:nationality,dbo:birthPlace,dbo:Artist,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:country,dbo:riverBranchOf,dbo:BodyOfWater,dbo:River,,dbo:River,dbo:Country,dbo:River,
dbo:residence,dbo:country,dbo:TennisPlayer,dbo:TennisPlayer,dbo:Person,,dbo:Place,dbo:Country,
dbo:computingPlatform,dbo:computingInput,dbo:VideoGame,dbo:VideoGame,dbo:Software,dbo:Software,,,
foaf:homepage,foaf:page,dbo:Software,dbo:Software,,,,,
dbo:knownFor,dbo:deathPlace,dbo:Scientist,dbo:Person,,dbo:Person,,dbo:Place,
dbo:nationality,dbo:birthPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Country,dbo:Place,
dbo:county,dbo:province,dbo:Municipality,dbo:Settlement,,dbo:Place,dbo:PopulatedPlace,dbo:Province,
dbo:country,dbo:birthPlace,dbo:MilitaryPerson,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,
dbo:starring,dbo:channel,dbo:TelevisionShow,dbo:TelevisionShow,dbo:Work,,dbo:Actor,dbo:Broadcaster,
dbo:deathPlace,dbo:birthPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:team,dbo:birthPlace,dbo:Athlete,dbo:BasketballPlayer,,dbo:Person,dbo:SportsTeam,dbo:Place,
dbo:genre,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,
dbo:award,dbo:birthPlace,dbo:Actor,dbo:Person,,dbo:Person,dbo:Award,dbo:Place,
dbo:musicalArtist,dbo:album,dbo:Single,dbo:Single,dbo:Single,,dbo:MusicalArtist,dbo:Album,
dbo:team,dbo:birthPlace,dbo:Athlete,dbo:BasketballPlayer,,dbo:Person,dbo:SportsTeam,dbo:Place,
dbo:cinematography,dbo:starring,dbo:Film,dbo:Film,dbo:Film,dbo:Work,dbo:Person,dbo:Actor,
dbo:birthPlace,dbo:deathPlace,dbo:Writer,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:previousWork,dbo:starring,dbo:Film,dbo:Film,dbo:Work,dbo:Work,dbo:Work,dbo:Actor,
dbo:aircraftUser,dbo:manufacturer,dbo:Aircraft,dbo:Aircraft,dbo:Aircraft,,dbo:Organisation,dbo:Organisation,
dbo:format,dbo:computingPlatform,dbo:VideoGame,dbo:VideoGame,,dbo:Software,,,
dbo:computingPlatform,dbo:computingMedia,dbo:VideoGame,dbo:VideoGame,dbo:Software,dbo:Software,,,
dbo:country,dbo:locationCity,dbo:University,dbo:University,,dbo:Organisation,dbo:Country,dbo:City,
dbo:headquarter,dbo:locationCountry,dbo:Airline,dbo:Airline,dbo:Organisation,,dbo:PopulatedPlace,dbo:Country,
dbo:headquarter,dbo:locationCity,dbo:Airline,dbo:Airline,dbo:Organisation,dbo:Organisation,dbo:PopulatedPlace,dbo:City,
dbo:genre,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,
dbo:country,dbo:deathPlace,dbo:MilitaryPerson,dbo:Person,,dbo:Person,dbo:Country,dbo:Place,
dbo:genre,dbo:bandMember,dbo:MusicalArtist,dbo:Band,,dbo:Band,dbo:Genre,dbo:Person,
dbo:cinematography,dbo:director,dbo:Film,dbo:Film,dbo:Film,dbo:Film,dbo:Person,dbo:Person,
dbo:birthPlace,dbo:deathPlace,dbo:MilitaryPerson,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:deathPlace,dbo:birthPlace,dbo:MilitaryPerson,dbo:Person,dbo:Person,dbo:Person,dbo:Place,dbo:Place,
dbo:channel,dbo:genre,dbo:TelevisionShow,dbo:TelevisionShow,,,dbo:Broadcaster,dbo:Genre,
